Rk,Player,School,Conf,G,RushAtt,RushYds,RushAvg,RushTD,Rec,RecYds,RecAvg,RecTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Elijah McGuire,Louisiana,Sun Belt,13,103,863,8.4,8,22,384,17.5,3,125,1247,10.0,11
2,Karlos Williams,Florida State,ACC,14,91,730,8.0,11,8,63,7.9,0,99,793,8.0,11
3,Terry Baggett,Army,Ind,12,141,1113,7.9,8,6,123,20.5,0,147,1236,8.4,8
4,Melvin Gordon,Wisconsin,Big Ten,13,206,1609,7.8,12,1,10,10.0,0,207,1619,7.8,12
5,Kenyan Drake,Alabama,SEC,11,92,694,7.5,8,12,135,11.3,1,104,829,8.0,9
6,Lache Seastrunk,Baylor,Big 12,11,158,1177,7.4,11,0,0,,0,158,1177,7.4,11
7,Marcus Mariota,Oregon,Pac-12,13,96,715,7.4,9,0,0,,0,96,715,7.4,9
8,Carlos Hyde,Ohio State,Big Ten,11,208,1521,7.3,15,16,147,9.2,3,224,1668,7.4,18
9,Tevin Coleman,Indiana,Big Ten,9,131,958,7.3,12,19,193,10.2,0,150,1151,7.7,12
10,Terrence Magee,LSU,SEC,13,86,626,7.3,8,6,49,8.2,0,92,675,7.3,8
11,Jeremy Hill,LSU,SEC,12,203,1401,6.9,16,18,181,10.1,0,221,1582,7.2,16
12,Shock Linwood,Baylor,Big 12,12,128,881,6.9,8,4,19,4.8,0,132,900,6.8,8
13,Henry Josey,Missouri,SEC,14,174,1166,6.7,16,10,65,6.5,1,184,1231,6.7,17
14,David Fluellen,Toledo,MAC,9,167,1121,6.7,10,27,222,8.2,0,194,1343,6.9,10
15,Michael Gordon,Arkansas State,Sun Belt,12,112,754,6.7,10,16,206,12.9,1,128,960,7.5,11
16,Stephen Houston,Indiana,Big Ten,12,112,753,6.7,5,11,113,10.3,0,123,866,7.0,5
17,Cameron Artis-Payne,Auburn,SEC,13,91,610,6.7,6,1,4,4.0,0,92,614,6.7,6
18,Jordan Lynch,Northern Illinois,MAC,14,292,1920,6.6,23,1,17,17.0,1,293,1937,6.6,24
19,Anthony Lacoste,Air Force,MWC,12,135,890,6.6,6,0,0,,0,135,890,6.6,6
20,Cole Gautsche,New Mexico,MWC,9,118,777,6.6,8,0,0,,0,118,777,6.6,8
21,Antonio Andrews,Western Kentucky,Sun Belt,12,267,1730,6.5,16,41,478,11.7,0,308,2208,7.2,16
22,James White,Wisconsin,Big Ten,13,221,1444,6.5,13,39,300,7.7,2,260,1744,6.7,15
23,Reggie Whatley,Middle Tennessee State,CUSA,12,101,657,6.5,3,5,5,1.0,0,106,662,6.2,3
24,Marcus Murphy,Missouri,SEC,14,92,601,6.5,9,11,79,7.2,1,103,680,6.6,10
25,Larry Dixon,Army,Ind,9,111,715,6.4,6,3,48,16.0,0,114,763,6.7,6
26,Duke Johnson,Miami (FL),ACC,8,145,920,6.3,6,4,77,19.3,0,149,997,6.7,6
27,Kareem Hunt,Toledo,MAC,11,137,866,6.3,6,12,68,5.7,0,149,934,6.3,6
28,Horactio Banks,Ball State,MAC,9,95,595,6.3,7,1,7,7.0,0,96,602,6.3,7
29,Kapri Bibbs,Colorado State,MWC,14,281,1741,6.2,31,8,59,7.4,0,289,1800,6.2,31
30,Braxton Miller,Ohio State,Big Ten,12,171,1068,6.2,12,0,0,,0,171,1068,6.2,12
31,Nick Marshall,Auburn,SEC,13,172,1068,6.2,12,1,35,35.0,0,173,1103,6.4,12
32,Byron Marshall,Oregon,Pac-12,12,168,1038,6.2,14,13,155,11.9,0,181,1193,6.6,14
33,Dak Prescott,Mississippi State,SEC,11,134,829,6.2,13,2,53,26.5,2,136,882,6.5,15
34,Thomas Tyner,Oregon,Pac-12,12,115,711,6.2,9,14,134,9.6,0,129,845,6.6,9
35,De'Anthony Thomas,Oregon,Pac-12,10,96,594,6.2,8,22,246,11.2,1,118,840,7.1,9
36,Andre Williams,Boston College,ACC,13,355,2177,6.1,18,0,0,,0,355,2177,6.1,18
37,Charles Ross,Rice,CUSA,12,211,1280,6.1,15,5,37,7.4,1,216,1317,6.1,16
38,Kenneth Dixon,Louisiana Tech,CUSA,10,151,917,6.1,4,14,85,6.1,1,165,1002,6.1,5
39,Jordan Howard,UAB,CUSA,11,145,881,6.1,2,4,83,20.8,1,149,964,6.5,3
