Rk,Player,School,Conf,G,Rec,RecYds,RecAvg,RecTD,RushAtt,RushYds,RushAvg,RushTD,Plays,TotalYds,YardsPerPlay,TotalTDs
1,Mack Hollins,North Carolina,ACC,13,30,745,24.8,8,0,0,,0,30,745,24.8,8
2,Shelton Gibson,West Virginia,Big 12,12,37,887,24.0,9,0,0,,0,37,887,24.0,9
3,Cody Thompson,Toledo,MAC,12,37,825,22.3,5,0,0,,0,37,825,22.3,5
4,Josh Magee,South Alabama,Sun Belt,12,23,504,21.9,3,1,-2,-2.0,0,24,502,20.9,3
5,Chris Moore,Cincinnati,American,11,40,870,21.8,7,2,10,5.0,0,42,880,21.0,7
6,Ricky Jeune,Georgia Tech,ACC,11,24,520,21.7,4,0,0,,0,24,520,21.7,4
7,Carlos Henderson,Louisiana Tech,CUSA,11,36,774,21.5,5,5,54,10.8,0,41,828,20.2,5
8,Bryce Treggs,California,Pac-12,13,45,956,21.2,7,0,0,,0,45,956,21.2,7
9,Terry Pettis,Middle Tennessee State,CUSA,12,29,612,21.1,4,0,0,,0,29,612,21.1,4
10,Leonte Carroo,Rutgers,Big Ten,8,39,809,20.7,10,0,0,,0,39,809,20.7,10
11,Jamir Tillman,Navy,American,12,29,597,20.6,5,2,10,5.0,0,31,607,19.6,5
12,Garrett Brown,Air Force,MWC,14,27,557,20.6,1,35,259,7.4,1,62,816,13.2,2
13,James Washington,Oklahoma State,Big 12,13,53,1087,20.5,10,1,10,10.0,0,54,1097,20.3,10
14,William Fuller,Notre Dame,Ind,13,62,1258,20.3,14,0,0,,0,62,1258,20.3,14
15,Jerome Lane,Akron,MAC,12,39,782,20.1,8,0,0,,0,39,782,20.1,8
16,Jay Lee,Baylor,Big 12,13,38,758,19.9,8,1,-1,-1.0,0,39,757,19.4,8
17,Kolby Listenbee,TCU,Big 12,10,30,597,19.9,5,1,11,11.0,0,31,608,19.6,5
18,Michael Thomas,Southern Mississippi,CUSA,13,71,1391,19.6,14,0,0,,0,71,1391,19.6,14
19,Antonio Callaway,Florida,SEC,14,35,678,19.4,4,3,19,6.3,0,38,697,18.3,4
20,Dontez Ford,Pitt,ACC,12,26,505,19.4,2,0,0,,0,26,505,19.4,2
21,Dijon Paschal,Arkansas State,Sun Belt,11,28,541,19.3,3,1,-9,-9.0,0,29,532,18.3,3
22,Dominique Reed,Arkansas,SEC,10,28,535,19.1,6,4,24,6.0,1,32,559,17.5,7
23,Darren Carrington,Oregon,Pac-12,7,32,609,19.0,6,1,21,21.0,0,33,630,19.1,6
24,Travin Dural,LSU,SEC,9,28,533,19.0,3,3,13,4.3,0,31,546,17.6,3
25,Brandon Reilly,Nebraska,Big Ten,12,40,754,18.9,4,11,96,8.7,0,51,850,16.7,4
26,Donovan Harden,Georgia State,Sun Belt,10,38,715,18.8,5,1,-2,-2.0,0,39,713,18.3,5
27,Mekale McKay,Cincinnati,American,10,27,507,18.8,2,0,0,,0,27,507,18.8,2
